date,type,authors,title,publication,link
2021,"Workshop Paper","Sörries, P., Glinka, Müller-Birn, C., Glinka, K., Boenisch, F., Margraf, M., Sayegh-Jodehl, S., Rose, M.","Privacy Needs Reflection: Conceptual Design Rationales for Privacy-Preserving Explanation User Interfaces","Mensch und Computer 2021, Workshopband, Workshop on 7. Usable Security und Privacy Workshop",https://dl.gi.de/bitstream/handle/20.500.12116/37418/Beitrag_389__a.pdf
2021,"Workshop Paper","Müller-Birn, C., Glinka, K., Sörries, P., Tebbe, M., Michl, S","Situated Case Studies for a Human-Centered Design of Explanation User Interfaces","ACM CHI Workshop on Operationalizing Human-Centered Perspectives in Explainable AI, CHI'21, arXiv preprint",https://arxiv.org/pdf/2103.15462.pdf
2020,"Book/Conference,<br />peer-reviewed","Glinka, K., Fischer, P. T.,<br />Müller-Birn, C., Krohn, S.","Investigating Modes of Activity and Guidance for Mediating Museum Exhibits in Mixed Reality",In: J.H. Israel / C. Kassung / J. Sieck (Eds.). Kultur und Informatik: Extended Reality. Berlin: vwh, https://arxiv.org/pdf/2106.13494.pdf
2019,"Journal/Conference, peer-reviewed","Windhager, F., Federico, P., Schreder, G., Glinka, K., Dörk, M., Miksch, S., Mayr, E.",Visualization of Cultural Heritage Collection Data: State of the Art and Future Challenges,"IEEE Transactions on Visualization and Computer Graphics, Vol. 25, No. 6, June 2019. <strong>Presented at IEEE VIS 2018 together with F. Windhager.</strong>",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8352050
2018,"Journal, peer-reviewed","Glinka, K.",The Process Is Part of the Solution: Insights from the German Collaborative Project museum4punkt0,"Museum International, Volume 70. Special Issue: Museums in a Digital World. International Council of Museums (ICOM). Wiley.",https://onlinelibrary.wiley.com/doi/abs/10.1111/muse.12195
2018,"Book, invited","Glinka, K., Dörk, M.",Zwischen Repräsentation und Rezeption. Visualisierung als Facette von Analyse und Argumentation in der Kunstgeschichte.,"In: P. Kuroczynski, P. Bell, L. Dieckmann (Eds.). »Computing Art Reader. Einführung in die digitale Kunstgeschichte«. Heidelberg: arthistoricum.net, (Computing in Art and Architecture, Vol. 1).",https://books.ub.uni-heidelberg.de/arthistoricum/catalog/book/413/c5825?lang=en
2018,"Journal, peer-reviewed","Meier, S., Glinka, K.","Data-driven Personal Cartographic Perspectives – An Overview Of Applied, Artistic, And Academic Visualization Projects For Egocentric Retrospective Analysis Of Personal Spatio-Temporal Behavior Cartograms","Kartographische Nachrichten, (13/8).",
2018,"Conference, peer-reviewed","Dörk, M., Glinka, K.",Der Sammlung gerecht werden: Kritisch-generative Methoden zur Konzeption experimenteller Visualisierungen,Konferenzband zur DHd 2018 Köln - Kritik der digitalen Vernunft.,https://uclab.fh-potsdam.de/wp/wp-content/uploads/dhd2018_abstract_vikus.pdf
2018,"Conference, peer-reviewed","Windhager, F., Glinka, K., Mayr, E., Schreder, G., Dörk, M.",Zur Weiterentwicklung des »cognition support«: Sammlungsvisualisierungen als Austragungsort kritisch-kulturwissenschaftlicher Forschung,Konferenzband zur DHd 2018 Köln - Kritik der digitalen Vernunft.,https://uclab.fh-potsdam.de/wp/wp-content/uploads/dhd2018_abstract_windhager_etal.pdf
2017,"Journal, peer-reviewed","Meier, S., Glinka, K.","The Individual in the Data, the Aspect of Personal Relevance in Designing Casual Data Visualisations.","i-com Journal of Interactive Media. Special issue: Human-Computer Interaction in Geovisualization. De Gruyter.16(3).",
